"Krankenhauspatienten: Deutschland, Jahre,
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie)";;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Entlassene Patienten (Anzahl);;;;;;;;;;;
ICD-10 (1-3-Steller) Hauptdiagnose;;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ICD10-A00-B99;Bestimmte infektiöse und parasitäre Krankheiten;566633;589351;601299;621576;639363;633305;640866;641427;452992;455212
ICD10-A00-A09;  Infektiöse Darmkrankheiten;266713;266532;259185;265857;261080;251726;250132;242867;147199;155273
ICD10-A00;    Cholera;1;-;1;4;5;2;1;-;-;4
ICD10-A01;    Typhus abdominalis und Paratyphus;160;156;120;129;107;138;95;127;49;47
ICD10-A02;    Sonstige Salmonelleninfektionen;6183;5627;5019;4284;4098;4468;4051;4185;3051;2878
ICD10-A03;    Shigellose (Bakterielle Ruhr);90;75;79;124;71;86;114;112;43;58
ICD10-A04;    Sonstige bakterielle Darminfektionen;42941;46020;47595;48524;45590;43036;41029;35798;29911;29574
ICD10-A05;    Sonstige bakteriell bed. Lebensmittelvergiftungen;1014;1125;1081;1038;1115;1017;1057;1088;768;967
ICD10-A06;    Amöbiasis;132;134;130;90;89;84;94;81;51;42
ICD10-A07;    Sonstige Darmkrankheiten durch Protozoen;488;508;576;461;513;439;474;501;339;342
ICD10-A08;    Virusbed. u.sonst. näher bezeichn. Darminfektionen;62105;58156;50310;53775;47750;47413;43752;46954;15218;21598
ICD10-A09;    Sonst. Gastroenteritis u.Kolitis infekt. Ursprungs;153599;154731;154274;157428;161742;155043;159465;154021;97769;99763
ICD10-A15-A19;  Tuberkulose;5822;5939;6527;8240;8684;8026;7946;6882;5962;5399
ICD10-A15;    Tuberkulose der Atmungsorgane, gesichert;3226;3386;3617;4439;4722;4246;4384;3786;3320;2986
ICD10-A16;    Tuberkulose der Atmungsorgane, nicht gesichert;1360;1312;1532;2222;2169;1975;1819;1358;974;908
ICD10-A17;    Tuberkulose des Nervensystems;159;134;141;162;160;166;140;130;135;102
ICD10-A18;    Tuberkulose sonstiger Organe;882;910;1048;1201;1390;1380;1345;1374;1237;1134
ICD10-A19;    Miliartuberkulose;195;197;189;216;243;259;258;234;296;269
ICD10-A20-A28;  Bestimmte bakterielle Zoonosen;835;859;902;915;969;1062;982;1055;913;795
ICD10-A20;    Pest;1;-;-;1;-;-;-;2;1;-
ICD10-A21;    Tularämie;13;4;14;25;15;34;27;28;35;65
ICD10-A22;    Anthrax (Milzbrand);6;1;2;-;-;1;-;-;-;1
ICD10-A23;    Brucellose;68;80;104;150;137;127;102;129;58;40
ICD10-A24;    Rotz (Malleus) und Melioidose (Pseudorotz);15;30;18;19;20;16;7;5;4;1
ICD10-A25;    Rattenbisskrankheiten;3;4;4;3;3;11;4;4;2;3
ICD10-A26;    Erysipeloid;249;297;263;282;242;245;248;205;196;156
ICD10-A27;    Leptospirose;93;72;127;73;81;112;91;137;77;107
ICD10-A28;    Sonstige bakterielle Zoonosen, ao.nicht klass.;387;371;370;362;471;516;503;545;540;422
ICD10-A30-A49;  Sonstige bakterielle Krankheiten;171084;186353;202398;212141;228622;231056;238720;246678;175831;164192
ICD10-A30;    Lepra (Aussatz);11;6;11;5;8;3;2;7;2;5
ICD10-A31;    Infektion durch sonstige Mykobakterien;882;941;1053;1020;1055;1075;1090;1108;1013;1055
ICD10-A32;    Listeriose;330;355;451;409;475;453;455;373;338;341
ICD10-A33;    Tetanus neonatorum;-;-;-;-;-;-;-;-;-;-
ICD10-A34;    Tetanus während Schwangerschaft,Geburt, Wochenbett;-;-;1;-;-;-;-;-;-;-
ICD10-A35;    Sonstiger Tetanus;15;8;9;10;7;1;6;7;4;9
ICD10-A36;    Diphtherie;4;3;7;12;5;12;10;6;7;8
ICD10-A37;    Keuchhusten;1529;933;877;725;1069;1252;943;737;280;98
ICD10-A38;    Scharlach;909;795;748;672;769;604;658;712;293;141
ICD10-A39;    Meningokokkeninfektion;427;403;337;335;381;315;325;290;159;76
ICD10-A40;    Streptokokkensepsis;8624;9688;10127;11426;12834;13507;14203;15116;6372;4880
ICD10-A41;    Sonstige Sepsis;85868;96107;106385;114486;121563;122552;126924;130422;67853;59915
ICD10-A42;    Aktinomykose;170;179;240;195;221;198;254;243;209;172
ICD10-A43;    Nokardiose;25;26;33;43;47;36;53;43;58;50
ICD10-A44;    Bartonellose;29;34;35;44;24;17;16;19;13;12
ICD10-A46;    Erysipel (Wundrose);59866;63135;66709;65515;70971;71709;73337;75311;63031;58954
ICD10-A48;    Sonstige bakterielle Krankheiten, ao.nicht klass.;969;1180;1077;1136;1241;1516;1701;1835;1876;2074
ICD10-A49;    Bakterielle Infektion nicht näher bez.Lokalisation;11426;12560;14298;16108;17952;17806;18743;20449;34323;36402
ICD10-A50-A64;  Infektionen, vorw.d. Geschlechtsverkehr übertragen;2607;2625;2790;2774;2785;2787;2671;2628;2147;2031
ICD10-A50;    Syphilis connata;17;20;15;15;15;17;22;7;14;13
ICD10-A51;    Frühsyphilis;286;273;351;319;329;296;285;218;245;196
ICD10-A52;    Spätsyphilis;349;355;383;351;364;342;361;334;291;290
ICD10-A53;    Sonstige und nicht näher bezeichnete Syphilis;166;147;183;176;157;136;128;135;83;75
ICD10-A54;    Gonokokkeninfektion;128;148;138;151;135;150;139;178;114;119
ICD10-A55;    Lymphogranuloma inguinale (venereum) d. Chlamydien;13;9;10;11;14;10;10;22;11;10
ICD10-A56;    Sonst. d. Geschlechtsverkehr übertr. Chlamydienkh.;368;386;397;371;340;321;335;305;274;239
